horizon,selected_prediction_mode,selected_threshold,clear_kt_strategy,train_years,early_stop_year,conformal_year,test_year,stage1_auc,stage1_f1,stage1_precision,stage1_recall,stage1_brier,stage1_false_clear_rate,stage1_false_cloudy_rate,stage2_cloudy_kt_rmse,stage2_cloudy_kt_mae,stage2_cloudy_kt_r2,persistence_kt_rmse,climatology_kt_rmse,all_daytime_rmse_model,all_daytime_mae_model,all_daytime_mbe_model,all_daytime_rmse_yesterday,all_daytime_skill_score,clear_sky_rmse_model,clear_sky_rmse_yesterday,clear_sky_skill_score,cloudy_rmse_model,cloudy_rmse_yesterday,cloudy_skill_score,ramp_rmse_model,ramp_rmse_yesterday,ramp_skill_score,stratified_marginal_coverage,stratified_mean_width,stratified_winkler_score,single_window_marginal_coverage,single_window_mean_width,static_marginal_coverage,static_mean_width,mismatch_rate,mismatch_coverage,monthly_coverage_std,stratified_cloudy_coverage,stratified_ramp_coverage
1,soft,0.3500,constant_1.0,2018-2021,2022,2023,2024,0.8895,0.7927,0.8874,0.7163,0.1321,0.1240,0.2837,0.2301,0.1878,0.3311,0.3041,0.2798,116.0000,79.3200,-17.5300,204.1800,0.4319,92.2900,166.2500,0.4449,142.0900,246.6400,0.4239,130.1000,200.9700,0.3526,0.8980,334.3000,497.7400,0.8980,364.2000,0.9203,395.7000,0.1770,0.7029,0.0273,0.8588,0.8687
3,soft,0.4500,constant_1.0,2018-2021,2022,2023,2024,0.8224,0.6894,0.8524,0.5787,0.1734,0.1366,0.4213,0.2562,0.2182,0.1708,0.3751,0.2798,140.0000,102.4600,-22.5700,204.1800,0.3143,118.7300,166.2500,0.2858,164.6500,246.6400,0.3325,137.3400,200.9700,0.3166,0.8992,394.1000,555.0500,0.8980,438.1000,0.8956,441.3000,0.2510,0.7981,0.0258,0.8536,0.9057
6,soft,0.3500,constant_1.0,2018-2021,2022,2023,2024,0.7843,0.6417,0.8384,0.5198,0.1900,0.1366,0.4802,0.2692,0.2315,0.0843,0.4777,0.2798,150.9100,111.5200,-24.7700,204.1800,0.2609,130.3900,166.2500,0.2157,175.0500,246.6400,0.2903,142.1300,200.9700,0.2928,0.8985,441.0000,599.8700,0.8980,466.1000,0.8939,469.8000,0.2890,0.8186,0.0254,0.8548,0.9129
24,soft,0.3000,constant_1.0,2018-2021,2022,2023,2024,0.7037,0.5619,0.7740,0.4411,0.2162,0.1757,0.5589,0.2757,0.2382,0.0396,0.4218,0.2798,160.4700,121.0400,-22.3500,204.1800,0.2141,134.9400,166.2500,0.1883,189.8300,246.6400,0.2303,148.8400,200.9700,0.2594,0.8985,473.8000,651.0500,0.8975,479.7000,0.8902,479.3000,0.3590,0.8276,0.0292,0.8427,0.9172
